Year	ID_mesh	ID_tipologia	Categoria	Nome	Deforestation	Reforestation	Growth_Urban	Growth_Mining	Growth_Pasture	Growth_Agriculture	Forest	NonForest	Water	Others	Urban	Mining	Pasture	Agriculture	0	3	4	6	11	12	15	24	30	33	41
2013	1	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	NA	NA	NA	NA	NA	NA	9.09	0	0	0	0	0	0	0	NA	9.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014	1	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	9.09	0	0	0	0	0	0	0	NA	9.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015	1	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	9.09	0	0	0	0	0	0	0	NA	9.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
2016	1	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	9.09	0	0	0	0	0	0	0	NA	9.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
2017	1	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	9.09	0	0	0	0	0	0	0	NA	9.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018	1	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	9.09	0	0	0	0	0	0	0	NA	9.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019	1	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	9.09	0	0	0	0	0	0	0	NA	9.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020	1	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	9.09	0	0	0	0	0	0	0	NA	9.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021	1	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	9.09	0	0	0	0	0	0	0	NA	9.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022	1	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	9.09	0	0	0	0	0	0	0	NA	9.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	2	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	NA	NA	NA	NA	NA	NA	21.4713	0	0	0	0	0	0	0	NA	21.4713	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014	2	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	21.4713	0	0	0	0	0	0	0	NA	21.4713	NA	NA	NA	NA	NA	NA	NA	NA	NA
2015	2	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	21.4713	0	0	0	0	0	0	0	NA	21.4713	NA	NA	NA	NA	NA	NA	NA	NA	NA
2016	2	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	21.4713	0	0	0	0	0	0	0	NA	21.4713	NA	NA	NA	NA	NA	NA	NA	NA	NA
2017	2	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	21.4713	0	0	0	0	0	0	0	NA	21.4713	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018	2	5	Área de Proteção Ambiental	Caverna do Maroaga (Presidente Figueiredo)	0	0	0	0	0	0	21.4713	0	0	0	0	0	0	0	NA	21.4713	NA	NA	NA	NA	NA	NA	NA	NA	NA
