Year	ID_mesh	SPRCLASSE	Deforestation	Reforestation	Growth_Urban	Growth_Mining	Growth_Pasture	Growth_Agriculture	Forest	NonForest	Water	Others	Urban	Mining	Pasture	Agriculture
2012	1	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	2.16	0	0	0	0
2013	1	Aquidauana	0	0	0	0	0	0	0	0	0	2.16	0	0	0	0
2014	1	Aquidauana	0	0	0	0	0	0	0	0	0	2.16	0	0	0	0
2015	1	Aquidauana	0	0	0	0	0	0	0	0	0	2.16	0	0	0	0
2016	1	Aquidauana	0	0	0	0	0	0	0	0	0	2.16	0	0	0	0
2017	1	Aquidauana	0	0	0	0	0	0	0	0	0	2.16	0	0	0	0
2018	1	Aquidauana	0	0	0	0	0	0	0	0	0	2.16	0	0	0	0
2019	1	Aquidauana	0	0	0	0	0	0	0	0	0	2.16	0	0	0	0
2020	1	Aquidauana	0	0	0	0	0	0	0	0	0	2.16	0	0	0	0
2021	1	Aquidauana	0	0	0	0	0	0	0	0	0	2.16	0	0	0	0
2022	1	Aquidauana	0	0	0	0	0	0	0	0	0	2.16	0	0	0	0
2012	2	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	1.6011	0	0	0	0
2013	2	Aquidauana	0	0.0144	0	0	0	0	0.0144	0	0	1.5867	0	0	0	0
2014	2	Aquidauana	0.0144	0	0	0	0	0	0	0	0	1.6011	0	0	0	0
2015	2	Aquidauana	0	0	0	0	0	0	0	0	0	1.6011	0	0	0	0
2016	2	Aquidauana	0	0	0	0	0	0	0	0	0	1.6011	0	0	0	0
2017	2	Aquidauana	0	0.0468	0	0	0	0	0.0468	0	0	1.5543	0	0	0	0
2018	2	Aquidauana	0.0468	0	0	0	0	0	0	0	0	1.6011	0	0	0	0
2019	2	Aquidauana	0	0	0	0	0	0	0	0	0	1.6011	0	0	0	0
2020	2	Aquidauana	0	0	0	0	0	0	0	0	0	1.6011	0	0	0	0
2021	2	Aquidauana	0	0	0	0	0	0	0	0	0	1.6011	0	0	0	0
2022	2	Aquidauana	0	0	0	0	0	0	0	0	0	1.6011	0	0	0	0
2012	3	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	3.8007	0	0	0	0
2013	3	Aquidauana	0	0	0	0	0	0	0	0	0	3.8007	0	0	0	0
2014	3	Aquidauana	0	0	0	0	0	0	0	0	0	3.8007	0	0	0	0
2015	3	Aquidauana	0	0	0	0	0	0	0	0	0	3.8007	0	0	0	0
2016	3	Aquidauana	0	0	0	0	0	0	0	0	0	3.8007	0	0	0	0
2017	3	Aquidauana	0	0	0	0	0	0	0	0	0	3.8007	0	0	0	0
2018	3	Aquidauana	0	0	0	0	0	0	0	0	0	3.8007	0	0	0	0
2019	3	Aquidauana	0	0	0	0	0	0	0	0	0	3.8007	0	0	0	0
2020	3	Aquidauana	0	0	0	0	0	0	0	0	0	3.8007	0	0	0	0
2021	3	Aquidauana	0	0.45	0	0	0	0	0.45	0	0	3.3507	0	0	0	0
2022	3	Aquidauana	0.45	0	0	0	0	0	0	0	0	3.8007	0	0	0	0
2012	4	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	6.4845	0	0	0	0
2013	4	Aquidauana	0	0	0	0	0	0	0	0	0	6.4845	0	0	0	0
2014	4	Aquidauana	0	0	0	0	0	0	0	0	0	6.4845	0	0	0	0
2015	4	Aquidauana	0	0	0	0	0	0	0	0	0	6.4845	0	0	0	0
2016	4	Aquidauana	0	0	0	0	0	0	0	0	0	6.4845	0	0	0	0
2017	4	Aquidauana	0	0	0	0	0	0	0	0	0	6.4845	0	0	0	0
2018	4	Aquidauana	0	0	0	0	0	0	0	0	0	6.4845	0	0	0	0
2019	4	Aquidauana	0	0	0	0	0	0	0	0	0	6.4845	0	0	0	0
2020	4	Aquidauana	0	0	0	0	0	0	0	0	0	6.4845	0	0	0	0
2021	4	Aquidauana	0	0.3177	0	0	0	0	0.3177	0	0	6.1668	0	0	0	0
2022	4	Aquidauana	0.3177	0	0	0	0	0	0	0	0	6.4845	0	0	0	0
2012	5	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	1.1691	0	0	0	0
2013	5	Aquidauana	0	0	0	0	0	0	0	0	0	1.1691	0	0	0	0
2014	5	Aquidauana	0	0	0	0	0	0	0	0	0	1.1691	0	0	0	0
2015	5	Aquidauana	0	0	0	0	0	0	0	0	0	1.1691	0	0	0	0
2016	5	Aquidauana	0	0	0	0	0	0	0	0	0	1.1691	0	0	0	0
2017	5	Aquidauana	0	0	0	0	0	0	0	0	0	1.1691	0	0	0	0
